Name,Equities,pct,id,Ranking,Sector1,Sector2,Indice
"The Vanguard Group, Inc.",6373496,2.4,PERNOD-RICARD,4,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
"JPMorgan Private Investments, Inc.",6011590,2.26,PERNOD-RICARD,5,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
Capital Research & Management Co. (Global Investors),5474432,2.06,PERNOD-RICARD,6,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
MFS International (UK) Ltd.,5448509,2.05,PERNOD-RICARD,7,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
Massachusetts Financial Services Co.,5440449,2.05,PERNOD-RICARD,8,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
Gardner Russo & Gardner LLC,4758762,1.79,PERNOD-RICARD,9,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
Norges Bank Investment Management,4296431,1.62,PERNOD-RICARD,10,Consumer Non-Cyclical,Distillers & Wineries - NEC, CAC40
H51 SAS,57233054,54.2,HERMES-INTERNATIONAL,1,Consumer Cyclical,Handbags & Luggage, CAC40
Hermes Family,13180231,12.5,HERMES-INTERNATIONAL,2,Consumer Cyclical,Handbags & Luggage, CAC40
Nicolas Puech,5182615,4.91,HERMES-INTERNATIONAL,3,Consumer Cyclical,Handbags & Luggage, CAC40
"JPMorgan Private Investments, Inc.",2615061,2.48,HERMES-INTERNATIONAL,4,Consumer Cyclical,Handbags & Luggage, CAC40
Arnault Family,1974538,1.87,HERMES-INTERNATIONAL,5,Consumer Cyclical,Handbags & Luggage, CAC40
Hermès International Société en commandite par actions,1361629,1.29,HERMES-INTERNATIONAL,6,Consumer Cyclical,Handbags & Luggage, CAC40
Capital Research & Management Co. (World Investors),1008699,0.96,HERMES-INTERNATIONAL,7,Consumer Cyclical,Handbags & Luggage, CAC40
"The Vanguard Group, Inc.",972526,0.92,HERMES-INTERNATIONAL,8,Consumer Cyclical,Handbags & Luggage, CAC40
Norges Bank Investment Management,922448,0.87,HERMES-INTERNATIONAL,9,Consumer Cyclical,Handbags & Luggage, CAC40
"Morgan Stanley Investment Management, Inc.",705663,0.67,HERMES-INTERNATIONAL,10,Consumer Cyclical,Handbags & Luggage, CAC40
Government of France,356194433,13.4,ORANGE-SA,1,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Bpifrance Participations SA /PRIVATE EQUITY/,254219602,9.56,ORANGE-SA,2,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Amundi Asset Management SA,136820470,5.14,ORANGE-SA,3,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
"The Vanguard Group, Inc.",58399649,2.2,ORANGE-SA,4,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
The Caisse de dépôt et placement du Québec,49174931,1.85,ORANGE-SA,5,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Caisse Des Dépôts & Consignations (Investment Management),45398917,1.71,ORANGE-SA,6,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Norges Bank Investment Management,42492970,1.6,ORANGE-SA,7,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Amundi Asset Management SA (Investment Management),34331375,1.29,ORANGE-SA,8,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
Invesco Asset Management Ltd.,29758626,1.12,ORANGE-SA,9,Telecommunications Services,Integrated Telecommunications Services - NEC, CAC40
